state,year,dr_customers,dr_energy_savings_mwh,dr_potential_peak_mw,dr_actual_peak_mw,dr_customer_incentives_kusd,dr_other_costs_kusd,summer_peak_mw,winter_peak_mw,sales_to_ultimate_customers_mwh,sales_total_revenue_kusd,sales_total_mwh,sales_total_customers,summer_peak_per_mwh,winter_peak_per_mwh,dr_actual_peak_share_of_summer_peak,dr_potential_peak_share_of_summer_peak,log_sales_total_mwh,log_summer_peak_mw,log_dr_actual_peak_mw
AK,2015,2431.0,0.0,27.0,22.0,66.0,20.0,,,,1083422.0,6159204.0,334223.0,,,,,15.633458106380758,,3.091042453358316
AK,2016,2403.0,0.0,27.0,22.0,66.0,31.0,,,,1097719.2,6123202.0,337407.0,,,,,15.627595720280121,,3.091042453358316
AK,2017,2414.0,0.0,27.0,22.0,66.0,28.0,,,,1181288.7,6185799.0,340543.0,,,,,15.637766738973744,,3.091042453358316
AK,2018,2400.0,0.0,27.0,22.0,66.0,28.0,,,,1156012.0,5972467.0,342870.0,,,,,15.602670632842434,,3.091042453358316
AK,2019,2386.0,0.0,18.0,13.0,65.256,39.199,,,,1176356.4,5818805.0,345496.0,,,,,15.576605472164776,,2.5649493574615367
AK,2020,2306.0,0.0,18.0,0.0,64.804,65.058,,,,1172834.8,5917577.0,378330.0,,,,,15.593437632537412,,
AK,2021,2293.0,0.0,18.0,0.0,64.412,1.723,,,,1195131.9,5969339.0,349591.0,,,,,15.602146758970838,,
AK,2022,2281.0,0.0,18.0,0.0,63.6,0.0,810.9000000000001,1046.6,5285246.0,1243995.5,6002080.0,351891.0,0.00013510316423639805,0.0001743728840668568,0.0,0.02219755826859045,15.60761663378399,6.698144741950512,
AK,2023,2264.0,0.0,18.0,0.0,63.236,4.208,830.7,997.2,5361015.0,1289605.8,6024598.0,354149.0,0.00013788471861525035,0.00016552141736261906,0.0,0.021668472372697724,15.61136131312328,6.722268718845026,
AL,2015,23842.0,8926.0,2215.7,238.29999999999998,18751.0,26852.0,,,,8291792.5,88845543.0,2552741.0,,,,,18.30240994811032,,5.473530384104697
AL,2016,35245.0,7925.0,2088.7,373.4,21073.0,27833.0,,,,8436438.5,88225141.0,2574849.0,,,,,18.295402525710784,,5.922650231107622
AL,2017,31392.0,4292.0,2110.6,1315.3,1393.0,26093.0,,,,8476458.3,86241730.0,2591623.0,,,,,18.2726647252206,,7.181820055474733
AL,2018,33274.0,5702.0,2157.9,488.0,26814.0,26228.0,,,,8694404.9,90280456.0,2607911.0,,,,,18.318431560853444,,6.1903154058531475
AL,2019,35760.0,3859.71,2034.0140000000001,370.379,23427.0,26386.211,,,,8658756.1,88095112.0,2626468.0,,,,,18.293927606960846,,5.914526805700413
AL,2020,32466.0,2687.696,2112.2380000000003,347.829,22689.5,24643.084,,,,8206786.0,83395605.0,2659869.0,,,,,18.23910616809867,,5.851710979697753
AL,2021,30758.0,4253.972,2082.2960000000003,398.55,54305.258,2362.164,,,,8713441.6,85585166.0,2691639.0,,,,,18.26502253170224,,5.9878329608739325
AL,2022,32010.0,18677.636,1999.656,797.78,50283.212,1836.831,22586.5,23872.2,80420896.0,10084541.6,87027545.0,2717051.0,0.0002595327720665911,0.00027430625556540747,0.035321098886503,0.08853323888163284,18.281735235704147,10.025107661645949,6.681832870217491
AL,2023,43046.0,776.7760000000001,2023.0549999999998,44.275,55346.6,1505.5,22806.899999999998,21264.1,78012797.0,9738603.8,84880359.0,2744635.0,0.00026869466939931293,0.0002505184974535746,0.0019412984666920977,0.08870363793413397,18.25675328176153,10.03481840073778,3.790420183668897
AR,2015,47201.0,6416.0,890.5,284.1,34777.0,8582.0,,,,3804307.8000000003,46465154.0,1580234.0,,,,,17.654213213290692,,5.649326288860142
AR,2016,45477.0,59856.0,3860.8,227.2,35987.0,7040.0,,,,3753294.6,46188438.0,1595478.0,,,,,17.648240064991512,,5.4258306868469965
AR,2017,43778.0,4488.0,938.4,215.7,40574.0,4865.0,,,,3804770.1,46085951.0,1607633.0,,,,,17.646018710978694,,5.373888553395111
AR,2018,44352.0,5165.0,975.2,311.1,44236.0,6924.0,,,,3859003.9,49602708.0,1621438.0,,,,,17.719555986979,,5.740114403903592
AR,2019,43568.0,4537.525,965.044,146.695,44780.472,5293.443,,,,3952273.5,48093032.0,1630597.0,,,,,17.688647859717197,,4.988355601405174
AR,2020,42540.0,5645.5650000000005,954.39,145.403,42934.252,7689.443,,,,3815603.7,45851003.0,1647339.0,,,,,17.640907632109048,,4.979509197623844
AR,2021,40792.0,10051.96,1238.715,139.276,43584.117,8137.0,,,,4429965.399999999,48663142.0,1674284.0,,,,,17.700432463724173,,4.936457575920593
AR,2022,39822.0,8913.703,1357.852,133.865,45844.071,8449.0,13345.6,12157.5,46674114.0,4855033.2,48997663.0,1684632.0,0.000272372174158592,0.00024812407889739557,0.010030646804939456,0.10174529432921713,17.707283161059962,9.498942021487347,4.896831829432703
AR,2023,37636.0,8870.59,1090.475,169.579,46207.775,9200.939,13262.1,11323.2,45904272.0,4735966.1,48649300.0,1701942.0,0.00027260618343943286,0.0002327515503820199,0.012786738148558675,0.08222491159017048,17.700147978003564,9.492665622241208,5.1333188949366635
AZ,2015,570649.0,850998.0,603.9,543.0,0.0,3738.0,,,,7999461.2,77349416.0,3011739.0,,,,,18.163843584857887,,6.297109319933935
AZ,2016,577152.0,937276.0,2173.4,247.7,0.0,2645.0,,,,8082024.100000001,78237828.0,3051839.0,,,,,18.175263822569303,,5.512218336495314
AZ,2017,576548.0,949720.0,408.8,312.2,160.0,2857.0,,,,8259482.7,77646262.0,3093052.0,,,,,18.167673967314606,,5.743644008081332
AZ,2018,651900.0,881352.0,425.0,309.3,681.0,5432.0,,,,8500556.200000001,78346302.0,3138283.0,,,,,18.17664932718401,,5.734311679691024
AZ,2019,716741.0,997847.02,404.1,282.85,2558.0,3882.5,,,,8197120.399999999,77929170.0,3187275.0,,,,,18.171310895179168,,5.644916721789165
AZ,2020,772315.0,1038845.4,461.80600000000004,357.856,5368.8,6898.47,,,,8553103.3,81960074.0,3235165.0,,,,,18.22174278421402,,5.8801306708457775
AZ,2021,820416.0,791261.0,548.678,383.525,8719.3,7869.240000000001,,,,8711850.4,81219990.0,3296750.0,,,,,18.212671957100035,,5.949404807730837
AZ,2022,855731.0,816913.46,598.292,451.67,4677.8,9918.91,21094.5,13135.7,81499721.0,9524927.8,84196517.0,3361238.0,0.00025053886730255125,0.00015601239181901077,0.021411742397307355,0.028362464149422836,18.248664112561244,9.956767621978413,6.11295182469226
AZ,2023,146710.0,42964.185,597.296,427.605,9225.002,9851.101,22678.899999999998,13730.2,83225784.0,10470980.2,85918798.0,3420227.0,0.0002639573705395646,0.00015980437715155187,0.018854750450859614,0.02633707984073302,18.268913198869058,10.029190255783648,6.058199872253714
CA,2015,2130487.0,94447.0,4914.5,3109.4,212787.0,67302.0,,,,40284580.5,289993085.0,15596659.0,,,,,19.485367635832915,,8.04218506051564
CA,2016,2282712.0,19853.0,2698.5,1495.6,196728.0,62117.0,,,,39116326.5,286131196.0,15743677.0,,,,,19.471960990873665,,7.310282743102959
CA,2017,1901504.0,9648.0,2271.0,1439.3,190357.0,48305.0,,,,41315237.3,293582425.0,16432252.0,,,,,19.497668992558708,,7.271912163268625
CA,2018,1997361.0,24613.0,2107.4,1094.5,172857.0,54702.0,,,,42317717.3,303178968.0,17243856.0,,,,,19.52983384257189,,6.9980529169629175
CA,2019,1546067.0,4853.724999999999,1661.304,874.819,141374.858,45067.71,,,,42290064.3,317296928.0,19493512.0,,,,,19.5753485748173,,6.774017007816868
CA,2020,1552191.0,7051.819,1203.813,1039.472,115625.111,18001.626,,,,45028612.0,320898688.0,20093907.0,,,,,19.586636017570637,,6.94646817090835
